row_idx,candidate_shard,human_label,agent_said_used_it
0,migration_plan,unclear,yes
1,models_state,unclear,yes
2,orm_query,unclear,yes
3,test_fixtures,unclear,yes
4,migration_plan,unclear,yes
5,models_state,unclear,yes
6,orm_query,unclear,yes
7,test_fixtures,unclear,yes
8,migration_plan,unclear,no
9,models_state,unclear,no
10,orm_query,unclear,yes
11,test_fixtures,unclear,no
12,migration_plan,unclear,no
13,models_state,unclear,yes
14,orm_query,unclear,yes
15,test_fixtures,unclear,no
16,migration_plan,unclear,no
17,models_state,unclear,no
18,orm_query,unclear,yes
19,test_fixtures,unclear,no
20,migration_plan,no,no
21,models_state,no,yes
22,orm_query,no,yes
23,test_fixtures,yes,yes
24,migration_plan,unclear,yes
25,models_state,unclear,yes
26,orm_query,unclear,yes
27,test_fixtures,unclear,yes
28,migration_plan,unclear,yes
29,models_state,unclear,no
30,orm_query,unclear,no
31,test_fixtures,unclear,yes
32,migration_plan,unclear,no
33,models_state,unclear,yes
34,orm_query,unclear,yes
35,test_fixtures,unclear,no
36,migration_plan,unclear,yes
37,models_state,unclear,yes
38,orm_query,unclear,yes
39,test_fixtures,unclear,yes
40,action_registry,unclear,yes
41,admin_config,unclear,yes
42,permission_check,unclear,yes
43,view_logic,unclear,yes
44,action_registry,unclear,yes
45,admin_config,unclear,no
46,permission_check,unclear,yes
47,view_logic,unclear,no
48,action_registry,no,no
49,admin_config,no,no
50,permission_check,no,no
51,view_logic,yes,yes
52,action_registry,unclear,yes
53,admin_config,unclear,no
54,permission_check,unclear,yes
55,view_logic,unclear,no
56,action_registry,unclear,yes
57,admin_config,unclear,yes
58,permission_check,unclear,yes
59,view_logic,unclear,no
60,action_registry,unclear,yes
61,admin_config,unclear,yes
62,permission_check,unclear,yes
63,view_logic,unclear,yes
64,action_registry,unclear,yes
65,admin_config,unclear,no
66,permission_check,unclear,yes
67,view_logic,unclear,no
68,action_registry,unclear,no
69,admin_config,unclear,no
70,permission_check,unclear,yes
71,view_logic,unclear,no
72,action_registry,unclear,yes
73,admin_config,unclear,yes
74,permission_check,unclear,yes
75,view_logic,unclear,no
76,action_registry,unclear,no
77,admin_config,unclear,yes
78,permission_check,unclear,yes
79,view_logic,unclear,no
80,dependency_resolver,unclear,yes
81,migration_graph,unclear,yes
82,rollback_state,unclear,no
83,squash_plan,unclear,yes
84,dependency_resolver,no,no
85,migration_graph,yes,yes
86,rollback_state,no,no
87,squash_plan,yes,yes
88,dependency_resolver,no,yes
89,migration_graph,no,no
90,rollback_state,no,no
91,squash_plan,yes,yes
92,dependency_resolver,unclear,yes
93,migration_graph,unclear,yes
94,rollback_state,unclear,no
95,squash_plan,unclear,yes
96,dependency_resolver,unclear,yes
97,migration_graph,unclear,yes
98,rollback_state,unclear,no
99,squash_plan,unclear,no
100,dependency_resolver,unclear,yes
101,migration_graph,unclear,yes
102,rollback_state,unclear,yes
103,squash_plan,unclear,yes
104,dependency_resolver,unclear,yes
105,migration_graph,unclear,yes
106,rollback_state,unclear,yes
107,squash_plan,unclear,yes
108,dependency_resolver,unclear,no
109,migration_graph,unclear,yes
110,rollback_state,unclear,no
111,squash_plan,unclear,yes
112,dependency_resolver,unclear,yes
113,migration_graph,unclear,yes
114,rollback_state,unclear,no
115,squash_plan,unclear,yes
116,dependency_resolver,unclear,no
117,migration_graph,unclear,yes
118,rollback_state,unclear,no
119,squash_plan,unclear,no
120,card_formatter,unclear,no
121,header_parser,unclear,no
122,io_handler,unclear,no
123,keyword_registry,unclear,yes
124,card_formatter,unclear,no
125,header_parser,unclear,yes
126,io_handler,unclear,yes
127,keyword_registry,unclear,no
128,card_formatter,no,no
129,header_parser,yes,yes
130,io_handler,yes,yes
131,keyword_registry,no,no
132,card_formatter,unclear,yes
133,header_parser,unclear,no
134,io_handler,unclear,no
135,keyword_registry,unclear,yes
136,card_formatter,yes,yes
137,header_parser,no,no
138,io_handler,no,no
139,keyword_registry,no,no
140,card_formatter,yes,yes
141,header_parser,yes,yes
142,io_handler,no,no
143,keyword_registry,yes,yes
144,card_formatter,unclear,no
145,header_parser,unclear,no
146,io_handler,unclear,no
147,keyword_registry,unclear,yes
148,card_formatter,no,no
149,header_parser,no,no
150,io_handler,no,no
151,keyword_registry,yes,yes
152,card_formatter,unclear,yes
153,header_parser,unclear,no
154,io_handler,unclear,no
155,keyword_registry,unclear,yes
156,card_formatter,no,no
157,header_parser,no,yes
158,io_handler,yes,yes
159,keyword_registry,no,no
160,bounds_check,unclear,no
161,coordinate_frame,unclear,yes
162,projection_math,unclear,no
163,wcs_transform,unclear,yes
164,bounds_check,unclear,no
165,coordinate_frame,unclear,yes
166,projection_math,unclear,yes
167,wcs_transform,unclear,yes
168,bounds_check,unclear,yes
169,coordinate_frame,unclear,no
170,projection_math,unclear,no
171,wcs_transform,unclear,yes
172,bounds_check,unclear,yes
173,coordinate_frame,unclear,yes
174,projection_math,unclear,yes
175,wcs_transform,unclear,yes
176,bounds_check,unclear,no
177,coordinate_frame,unclear,yes
178,projection_math,unclear,yes
179,wcs_transform,unclear,no
180,bounds_check,unclear,yes
181,coordinate_frame,unclear,yes
