condition,p_hidden,n_injections,n_trials,corrupted,corrupt_rate,detected,detection_rate,predicted_rate
iid,0.0,8630,10,0,0.0000,86300,1.0000,0.0000
bursty,0.0,8630,10,0,0.0000,86300,1.0000,0.0000
anticorrelated,0.0,8630,10,0,0.0000,86300,1.0000,0.0000
iid,0.1,8630,10,6086,0.0705,77694,0.9003,0.0712
bursty,0.1,8630,10,7265,0.0842,76202,0.8830,0.0712
anticorrelated,0.1,8630,10,6175,0.0716,77670,0.9000,0.0712
iid,0.25,8630,10,15366,0.1781,64667,0.7493,0.1780
bursty,0.25,8630,10,18559,0.2151,60332,0.6991,0.1780
anticorrelated,0.25,8630,10,15398,0.1784,64725,0.7500,0.1780
iid,0.5,8630,10,30707,0.3558,43056,0.4989,0.3560
bursty,0.5,8630,10,36853,0.4270,34859,0.4039,0.3560
anticorrelated,0.5,8630,10,30552,0.3540,43150,0.5000,0.3560
iid,0.75,8630,10,46290,0.5364,21320,0.2470,0.5340
bursty,0.75,8630,10,55219,0.6398,8586,0.0995,0.5340
anticorrelated,0.75,8630,10,61485,0.7125,0,0.0000,0.5340
iid,1.0,8630,10,61393,0.7114,0,0.0000,0.7120
bursty,1.0,8630,10,61605,0.7138,0,0.0000,0.7120
anticorrelated,1.0,8630,10,61471,0.7123,0,0.0000,0.7120
