run_id,system,task_id,n_agents,n_steps,coord_tokens,work_tokens,cwr,wall_time_s
django__django-11099_4a_1775008215,sbus,django__django-11099,4,20,20417,39254,0.5201,111.3
cw_django__django-11099_4a_1775008327,coordinator_worker,django__django-11099,4,20,46474,42519,1.093,615.0
django__django-11133_4a_1775008942,sbus,django__django-11133,4,20,18555,36823,0.5039,128.4
cw_django__django-11133_4a_1775009070,coordinator_worker,django__django-11133,4,20,46693,43071,1.0841,661.5
django__django-12856_4a_1775009732,sbus,django__django-12856,4,20,18860,38310,0.4923,182.4
cw_django__django-12856_4a_1775009914,coordinator_worker,django__django-12856,4,20,46405,42364,1.0954,588.2
matplotlib__matplotlib-23299_4a_1775010502,sbus,matplotlib__matplotlib-23299,4,20,20073,38558,0.5206,115.6
cw_matplotlib__matplotlib-23299_4a_1775010618,coordinator_worker,matplotlib__matplotlib-23299,4,20,43705,40442,1.0807,592.7
pytest-dev__pytest-7168_4a_1775011211,sbus,pytest-dev__pytest-7168,4,20,17437,34915,0.4994,100.4
cw_pytest-dev__pytest-7168_4a_1775011311,coordinator_worker,pytest-dev__pytest-7168,4,20,46611,42676,1.0922,531.6
astropy__astropy-12907_4a_1775011843,sbus,astropy__astropy-12907,4,20,18906,37081,0.5099,100.9
cw_astropy__astropy-12907_4a_1775011944,coordinator_worker,astropy__astropy-12907,4,20,47374,43485,1.0894,573.8
sympy__sympy-21379_4a_1775012518,sbus,sympy__sympy-21379,4,20,19740,38881,0.5077,124.1
cw_sympy__sympy-21379_4a_1775012642,coordinator_worker,sympy__sympy-21379,4,20,47813,43681,1.0946,618.6
sphinx-doc__sphinx-8435_4a_1775013260,sbus,sphinx-doc__sphinx-8435,4,20,19519,39117,0.499,112.8
cw_sphinx-doc__sphinx-8435_4a_1775013373,coordinator_worker,sphinx-doc__sphinx-8435,4,20,46601,42686,1.0917,605.2
scikit-learn__scikit-learn-13779_4a_1775013978,sbus,scikit-learn__scikit-learn-13779,4,20,20084,39929,0.503,109.1
cw_scikit-learn__scikit-learn-13779_4a_1775014088,coordinator_worker,scikit-learn__scikit-learn-13779,4,20,47997,43751,1.097,600.5
pallets__flask-4045_4a_1775014688,sbus,pallets__flask-4045,4,20,21988,41803,0.526,132.1
cw_pallets__flask-4045_4a_1775014820,coordinator_worker,pallets__flask-4045,4,20,48121,44125,1.0906,587.1
