run_id,system,agent_count,task_id,coord_tokens,work_tokens,cwr,steps_taken,success,commit_attempts,commit_conflicts,scr,retry_exhaustions,excluded,wall_ms,model
83e5d584-8166-4580-80f3-2d76904c3208,sbus,4,lh_001,1538,6635,0.2318,20,1,25,0,0.0000,0,0,91852,gpt-4o-mini
e1ef6be3-1d5f-4d88-a3e4-0283596c3d78,coord_worker,4,lh_001,10953,3123,3.5072,20,0,0,0,0.0000,0,0,212420,gpt-4o-mini
a5249380-0c2a-4562-93e9-ad5b0d32cf5f,sbus,4,lh_001,1608,6799,0.2365,20,1,25,0,0.0000,0,0,84365,gpt-4o-mini
c4c18e25-93f0-48b4-bb50-66ab49bedb8b,coord_worker,4,lh_001,11054,3082,3.5866,20,0,0,0,0.0000,0,0,218196,gpt-4o-mini
acac0156-a336-402c-acbd-430c60ad41d9,sbus,4,lh_001,1576,6729,0.2342,20,1,25,0,0.0000,0,0,92572,gpt-4o-mini
3f6902ee-cdac-4f12-9e11-3e80b74a3069,coord_worker,4,lh_001,10491,3074,3.4128,20,0,0,0,0.0000,0,0,206777,gpt-4o-mini
d1389253-a4ba-4f2d-90e9-f4860b94f538,sbus,4,lh_002,1154,4835,0.2387,20,0,20,0,0.0000,0,0,62896,gpt-4o-mini
1ee0be6c-58a4-45c5-be7e-548c362ec657,coord_worker,4,lh_002,10935,3226,3.3896,20,0,0,0,0.0000,0,0,209795,gpt-4o-mini
14c83338-6ea8-4718-aac4-16889f19b86f,sbus,4,lh_002,1120,4776,0.2345,20,0,20,0,0.0000,0,0,58309,gpt-4o-mini
f790c44e-9234-4c62-a494-aa5159e72a1c,coord_worker,4,lh_002,10333,3237,3.1922,20,0,0,0,0.0000,0,0,412144,gpt-4o-mini
94e7db97-faa7-4636-8821-59eeb5779db5,sbus,4,lh_002,1155,4858,0.2378,20,1,20,0,0.0000,0,0,58352,gpt-4o-mini
4fbfb886-a6ad-4044-8ec2-6f57f3a2b510,coord_worker,4,lh_002,10045,3180,3.1588,20,0,0,0,0.0000,0,0,250147,gpt-4o-mini
58d5fdf2-87cb-4032-a1f9-bd7a8ba20b54,sbus,4,lh_003,1305,5368,0.2431,20,1,20,0,0.0000,0,0,65666,gpt-4o-mini
6131ce93-d198-4daf-bf79-f50763e5c1ab,coord_worker,4,lh_003,10082,2961,3.4049,20,0,0,0,0.0000,0,0,259493,gpt-4o-mini
9232c211-6b49-498b-938f-77d301825b1d,sbus,4,lh_003,1325,5383,0.2461,20,1,20,0,0.0000,0,0,61143,gpt-4o-mini
28300623-298f-4362-9ab9-b956a47539b2,coord_worker,4,lh_003,10460,2946,3.5506,20,0,0,0,0.0000,0,0,183603,gpt-4o-mini
9c9ba5ba-757a-4d61-af95-1a8eb12c816c,sbus,4,lh_003,1379,5533,0.2492,20,1,20,0,0.0000,0,0,60557,gpt-4o-mini
3e45aa82-bc52-4e1c-8b91-34a735fee319,coord_worker,4,lh_003,10505,2932,3.5829,20,0,0,0,0.0000,0,0,192176,gpt-4o-mini
